StudentID,Name,Gender,Age,Course,Department,Year,GPA,Attendance_,City,AdmissionYear,FeePaid,Scholarship,PlacementStatus,InternshipsCompleted
STU00030,Elakshi Garde,Male,18,B.Sc,Commerce,3,9.5,90.5,Mumbai,2025,Yes,No,Placed,3
STU00031,Mishti Jha,Male,20,B.Sc,Mechanical,4,6.81,90.2,Mumbai,2021,Yes,Yes,Not Placed,2
STU00032,Rati Sura,Male,21,MCA,Computer Science,3,8.26,75.2,Chennai,2021,No,Yes,In Progress,2
STU00033,Adah Jha,Male,21,B.Tech,Computer Science,4,8.63,71.9,Hyderabad,2021,Yes,No,In Progress,3
STU00034,Anvi Bhavsar,Male,21,B.Tech,Electronics,2,7.35,96.1,Vijayawada,2021,No,No,In Progress,3
STU00035,Charvi Gade,Female,23,B.Com,Civil,3,6.05,76.0,Hyderabad,2023,No,Yes,Not Placed,2
STU00036,Rati Khare,Male,21,B.Sc,Civil,3,7.4,85.7,Delhi,2022,No,Yes,Placed,1
STU00037,Riya Sabharwal,Male,24,M.Tech,Electrical,2,6.36,60.9,Mumbai,2025,Yes,No,In Progress,1
STU00038,Anaya Brar,Female,20,M.Tech,Commerce,4,7.22,65.6,Chennai,2022,Yes,Yes,In Progress,3
STU00039,Eshani Korpal,Female,26,B.Tech,Electronics,2,6.02,65.1,Mumbai,2025,No,No,In Progress,3
STU00040,Ranbir Tara,Male,21,B.Sc,Commerce,4,6.61,69.4,Pune,2022,No,No,Placed,2
STU00041,Hiran Sur,Female,19,B.Sc,Electrical,3,9.34,63.1,Visakhapatnam,2021,Yes,Yes,Placed,3
STU00042,Jivika Ranganathan,Female,24,BBA,Electrical,4,5.77,91.6,Hyderabad,2022,No,Yes,Not Placed,2
STU00043,Seher Sehgal,Male,21,MCA,Civil,4,8.71,80.8,Mumbai,2023,Yes,No,Not Placed,0
STU00044,Yuvraj  Sahota,Female,26,BBA,Electrical,4,6.21,77.8,Hyderabad,2024,Yes,Yes,Placed,3
STU00045,Tejas Varty,Female,22,B.Sc,Management,4,5.72,74.4,Mumbai,2020,Yes,No,Not Placed,3
STU00046,Siya Agate,Male,17,B.Com,Management,1,5.58,80.5,Hyderabad,2022,No,Yes,Placed,1
STU00047,Manjari Tiwari,Female,22,MCA,Computer Science,2,6.04,85.4,Chennai,2020,Yes,No,In Progress,0
STU00048,Kaira Gaba,Female,20,MCA,Management,2,5.96,61.0,Bangalore,2021,No,No,In Progress,1
STU00049,Suhana Wason,Female,22,B.Tech,Commerce,3,8.44,90.6,Bangalore,2025,Yes,No,In Progress,2
STU00050,Ryan Dugar,Male,23,B.Tech,Management,4,7.61,76.5,Chennai,2025,No,No,In Progress,2
STU00051,Shanaya Agrawal,Male,18,MBA,Management,4,7.37,87.8,Vijayawada,2022,No,No,Not Placed,1
STU00052,Kismat Raju,Male,22,MCA,Civil,4,5.62,92.3,Vijayawada,2021,Yes,No,Not Placed,2
STU00053,Zara Dube,Female,24,MBA,Commerce,3,5.54,96.0,Visakhapatnam,2023,Yes,Yes,In Progress,3
STU00054,Ivan Jani,Male,21,M.Tech,Commerce,4,8.91,63.5,Delhi,2022,Yes,No,Not Placed,2
STU00055,Ranbir Chander,Male,20,BBA,Commerce,3,8.52,70.3,Delhi,2021,No,Yes,Placed,1
STU00056,Vanya Raval,Male,21,B.Sc,Mechanical,4,8.62,97.1,Visakhapatnam,2021,No,Yes,Not Placed,1
STU00057,Darshit Gupta,Female,18,B.Com,Computer Science,2,5.7,62.1,Hyderabad,2021,No,Yes,In Progress,2
STU00058,Uthkarsh Gandhi,Male,23,BBA,Civil,4,6.29,62.0,Pune,2021,No,Yes,Placed,0
STU00059,Ishaan Kari,Female,24,B.Sc,Mechanical,3,9.77,64.5,Pune,2019,No,Yes,Not Placed,3
STU00060,Bhavin Baria,Female,18,B.Com,Electronics,1,9.63,63.8,Chennai,2023,Yes,Yes,Placed,1
STU00061,Ishaan Sarkar,Male,20,MBA,Computer Science,2,7.26,86.2,Vijayawada,2019,No,No,In Progress,2
STU00062,Ira Sunder,Male,25,M.Tech,Management,4,8.46,95.1,Visakhapatnam,2019,Yes,No,In Progress,1
STU00063,Navya Sethi,Male,24,B.Com,Management,2,5.76,90.1,Vijayawada,2019,No,No,In Progress,3
STU00064,Charvi Dutta,Female,17,B.Com,Electronics,4,5.85,61.5,Bangalore,2022,No,No,Placed,0
STU00065,Neelofar Mammen,Female,19,MCA,Commerce,3,5.67,88.7,Mumbai,2023,No,No,In Progress,3
STU00066,Ryan Sehgal,Female,24,B.Tech,Civil,3,6.93,85.5,Vijayawada,2022,Yes,No,In Progress,3
STU00067,Sara Kala,Male,25,MCA,Management,1,5.88,69.6,Pune,2022,Yes,No,Not Placed,0
STU00068,Dhanuk Raman,Female,25,B.Sc,Electronics,3,8.75,83.8,Chennai,2023,Yes,Yes,Not Placed,3
STU00069,Ishita Dhingra,Female,25,M.Tech,Civil,1,9.68,83.1,Hyderabad,2019,Yes,Yes,In Progress,3
STU00070,Hansh Kalita,Female,25,B.Tech,Mechanical,1,9.57,84.6,Vijayawada,2022,Yes,No,Not Placed,3
STU00071,Vedika Madan,Female,23,BBA,Mechanical,4,6.12,67.2,Delhi,2023,Yes,Yes,In Progress,2
STU00072,Tiya Grewal,Female,25,MCA,Computer Science,3,6.78,82.3,Pune,2024,No,Yes,Not Placed,2
STU00073,Tara Ray,Male,23,MBA,Management,4,9.51,93.0,Hyderabad,2022,Yes,No,Not Placed,3
STU00074,Hiran Madan,Male,19,M.Tech,Management,4,9.75,90.1,Delhi,2022,Yes,No,Placed,3
STU00075,Charvi Arya,Female,21,B.Tech,Electronics,4,8.61,75.6,Delhi,2019,Yes,Yes,In Progress,3
STU00076,Nayantara Samra,Male,26,M.Tech,Computer Science,3,8.4,80.3,Bangalore,2025,No,No,Placed,2
STU00077,Amira Khanna,Male,21,B.Sc,Commerce,1,9.71,88.9,Hyderabad,2022,Yes,No,Placed,2
STU00078,Manjari Karnik,Male,19,MCA,Computer Science,3,7.11,65.5,Bangalore,2021,No,Yes,In Progress,3
STU00079,Damini Varughese,Female,21,MBA,Commerce,2,9.43,65.4,Hyderabad,2022,No,No,Not Placed,2
STU00080,Pihu Kari,Female,24,M.Tech,Electronics,2,7.4,73.1,Vijayawada,2019,No,No,Placed,3
STU00081,Himmat Magar,Male,23,MCA,Civil,1,7.14,73.6,Vijayawada,2020,No,No,Placed,0
STU00082,Madhav Sarraf,Male,20,MBA,Commerce,4,9.39,70.9,Vijayawada,2025,Yes,No,In Progress,1
STU00083,Abram Manda,Male,21,M.Tech,Computer Science,1,8.89,61.3,Delhi,2021,No,Yes,In Progress,3
STU00084,Inaaya  Gade,Female,24,B.Sc,Mechanical,2,7.82,96.9,Vijayawada,2025,No,Yes,In Progress,2
STU00085,Abram Chanda,Male,23,MCA,Computer Science,4,6.11,96.7,Hyderabad,2019,No,No,Not Placed,0
STU00086,Riaan Khanna,Male,24,BBA,Electrical,3,7.14,84.3,Hyderabad,2023,No,Yes,In Progress,2
STU00087,Pranay Gandhi,Male,19,MBA,Mechanical,1,9.04,94.6,Hyderabad,2024,No,No,Placed,2
STU00088,Mahika Kapadia,Female,26,BBA,Computer Science,1,9.32,65.2,Chennai,2020,No,No,Not Placed,0
STU00089,Samaira Loke,Male,22,MCA,Civil,4,5.64,74.1,Bangalore,2021,No,No,In Progress,2
STU00090,Sana Mander,Male,20,MBA,Commerce,3,7.21,67.2,Hyderabad,2019,Yes,No,Placed,2
STU00091,Nehmat Konda,Female,19,B.Sc,Mechanical,2,9.07,81.1,Hyderabad,2019,Yes,Yes,Not Placed,1
STU00092,Rhea Shankar,Male,22,B.Sc,Electronics,3,6.25,85.1,Visakhapatnam,2025,Yes,Yes,In Progress,2
STU00093,Manjari Sarkar,Female,24,B.Tech,Mechanical,3,6.05,76.0,Delhi,2019,Yes,Yes,In Progress,0
STU00094,Anvi Chacko,Male,17,BBA,Electronics,2,5.69,89.8,Pune,2023,No,No,Not Placed,3
STU00095,Aarav Som,Male,18,M.Tech,Computer Science,4,9.41,62.8,Chennai,2024,Yes,No,Not Placed,2
STU00096,Misha Gokhale,Female,24,BBA,Electronics,3,7.67,76.3,Visakhapatnam,2022,Yes,Yes,Not Placed,2
STU00097,Shalv Subramaniam,Female,19,MCA,Civil,4,8.64,71.9,Pune,2022,No,No,Placed,0
STU00098,Vedika Rastogi,Female,18,MCA,Computer Science,1,5.92,88.1,Mumbai,2022,Yes,Yes,Not Placed,3
STU00099,Dhanuk Sabharwal,Female,20,MCA,Commerce,1,8.08,73.4,Bangalore,2021,Yes,Yes,Not Placed,2
STU00100,Ishita Ghose,Male,19,B.Tech,Management,3,6.47,76.3,Vijayawada,2023,Yes,No,In Progress,2
STU00101,Rhea Chakrabarti,Male,17,B.Com,Electrical,1,9.24,81.5,Bangalore,2020,No,Yes,In Progress,1
STU00102,Romil Chana,Male,19,BBA,Civil,4,6.18,71.8,Chennai,2021,No,Yes,In Progress,0
STU00103,Kiaan Wali,Female,20,M.Tech,Computer Science,3,8.35,78.5,Bangalore,2022,No,No,Not Placed,3
STU00104,Armaan Korpal,Male,20,B.Tech,Electrical,4,8.37,61.7,Vijayawada,2023,No,Yes,Placed,1
STU00105,Vaibhav Gala,Male,23,MCA,Electrical,3,6.02,78.9,Visakhapatnam,2021,No,Yes,In Progress,2
STU00106,Piya Bajaj,Female,23,B.Tech,Civil,1,5.58,95.0,Vijayawada,2022,No,No,Placed,3
STU00107,Hunar Sawhney,Female,18,B.Tech,Electrical,2,9.57,77.5,Visakhapatnam,2025,No,Yes,Not Placed,3
STU00108,Jayant Kunda,Male,25,MBA,Computer Science,4,6.83,72.9,Bangalore,2025,No,Yes,In Progress,1
STU00109,Raunak Kakar,Male,19,MCA,Electrical,3,9.62,84.5,Vijayawada,2024,Yes,Yes,Placed,1
STU00110,Divij Bahri,Female,22,MBA,Mechanical,1,9.59,83.9,Chennai,2020,No,No,Not Placed,0
STU00111,Alisha Chad,Female,24,BBA,Civil,3,6.68,62.1,Hyderabad,2025,Yes,No,Placed,2
STU00112,Keya Talwar,Male,24,MCA,Electrical,1,9.22,92.5,Visakhapatnam,2024,No,No,Not Placed,3
STU00113,Anahi Krishna,Male,17,MBA,Mechanical,1,5.95,94.2,Visakhapatnam,2022,No,Yes,In Progress,3
STU00114,Nakul Taneja,Male,22,BBA,Electronics,2,7.1,70.7,Bangalore,2021,No,No,Not Placed,0
STU00115,Shaan Golla,Male,26,MBA,Commerce,4,6.58,92.4,Chennai,2021,Yes,No,Not Placed,2
STU00116,Zaina Rau,Female,19,M.Tech,Commerce,4,8.06,95.6,Bangalore,2020,No,No,In Progress,3
STU00117,Sara Mangat,Male,20,MBA,Electrical,1,6.83,96.1,Chennai,2021,No,No,Placed,0
STU00118,Rati Jha,Male,26,B.Com,Management,1,8.81,91.7,Mumbai,2023,Yes,No,Placed,1
STU00119,Vedika Tandon,Female,24,B.Sc,Management,2,7.38,75.6,Visakhapatnam,2024,Yes,No,In Progress,1
STU00120,Veer Kunda,Female,23,B.Com,Management,4,6.33,85.8,Mumbai,2025,No,No,Placed,1
STU00121,Raunak Ramanathan,Male,21,MCA,Electronics,2,6.58,84.4,Bangalore,2025,No,Yes,Placed,2
STU00122,Riaan Chandra,Female,17,BBA,Electronics,2,7.38,96.0,Mumbai,2025,Yes,No,Placed,3
STU00123,Shaan Chacko,Male,22,MBA,Electrical,2,9.78,74.2,Chennai,2022,Yes,No,Placed,0
STU00124,Adah Madan,Male,18,B.Com,Management,4,9.07,88.8,Hyderabad,2024,No,No,Not Placed,1
STU00125,Sahil Suri,Male,23,MCA,Mechanical,4,8.84,69.0,Pune,2019,Yes,Yes,Placed,0
STU00126,Trisha Kapur,Female,17,MCA,Civil,1,7.72,69.2,Delhi,2024,Yes,No,Placed,3
STU00127,Baiju Chada,Female,17,B.Sc,Commerce,1,9.69,62.6,Mumbai,2023,Yes,No,Not Placed,2
STU00128,Ishita Gulati,Male,17,M.Tech,Computer Science,3,5.79,69.2,Delhi,2025,Yes,No,In Progress,2
STU00129,Ira Majumdar,Male,18,MCA,Commerce,2,8.85,77.7,Pune,2025,No,Yes,Placed,2
STU00130,Nirvaan Rastogi,Female,17,B.Sc,Computer Science,2,6.86,71.8,Visakhapatnam,2019,No,No,Not Placed,2
STU00131,Emir Mandal,Female,24,MCA,Management,1,8.32,70.4,Mumbai,2025,No,No,Not Placed,1
STU00132,Diya Handa,Male,23,BBA,Commerce,4,9.47,79.7,Chennai,2021,Yes,No,In Progress,2
STU00133,Jhanvi Suri,Female,22,B.Com,Computer Science,1,8.34,71.6,Pune,2021,No,Yes,Placed,2
STU00134,Rania Sekhon,Female,25,MBA,Civil,3,9.71,96.0,Chennai,2024,Yes,No,Placed,1
STU00135,Aniruddh Krish,Female,26,MCA,Electronics,4,6.04,69.0,Hyderabad,2019,No,No,In Progress,1
STU00136,Ishaan Chahal,Female,22,M.Tech,Civil,3,7.41,62.9,Vijayawada,2021,Yes,No,Placed,0
STU00137,Diya Raval,Female,24,B.Tech,Commerce,2,7.73,94.7,Visakhapatnam,2022,Yes,No,In Progress,2
STU00138,Divyansh Taneja,Male,22,M.Tech,Civil,2,6.08,62.8,Delhi,2019,Yes,No,In Progress,0
STU00139,Gokul Reddy,Male,18,MBA,Electronics,3,9.16,87.0,Visakhapatnam,2021,Yes,No,Placed,1
STU00140,Kiara Chowdhury,Male,21,MCA,Civil,1,7.88,74.0,Mumbai,2021,Yes,Yes,In Progress,3
STU00141,Nirvaan Devi,Female,24,MBA,Civil,4,7.97,64.8,Delhi,2025,No,Yes,Placed,1
STU00142,Amani Sibal,Female,19,MCA,Mechanical,4,9.42,62.1,Chennai,2023,Yes,Yes,Not Placed,1
STU00143,Vritika Kade,Female,26,B.Com,Electronics,3,5.84,67.5,Bangalore,2025,No,Yes,In Progress,1
STU00144,Kanav Ramachandran,Male,18,MBA,Electronics,2,8.33,87.4,Hyderabad,2020,No,Yes,In Progress,2
STU00145,Shamik Kata,Female,20,M.Tech,Mechanical,4,8.25,78.9,Mumbai,2023,No,No,Not Placed,3
STU00146,Heer Mani,Male,22,B.Tech,Commerce,1,7.39,78.4,Delhi,2020,Yes,No,In Progress,2
STU00147,Tushar Yogi,Female,24,BBA,Mechanical,3,7.92,72.1,Visakhapatnam,2023,No,Yes,Placed,0
STU00148,Myra Dash,Female,20,B.Tech,Electrical,4,8.15,69.4,Chennai,2025,Yes,No,Not Placed,3
STU00149,Nakul Goda,Male,26,BBA,Electrical,4,5.89,74.9,Delhi,2019,No,Yes,Placed,0
STU00150,Yuvraj  Ramesh,Female,22,B.Com,Civil,4,7.81,92.2,Mumbai,2021,No,Yes,Not Placed,0
STU00151,Heer Bath,Male,19,BBA,Computer Science,2,7.88,62.8,Bangalore,2021,No,No,Not Placed,2
STU00152,Sana Chandran,Male,17,MCA,Electrical,3,6.12,82.9,Chennai,2025,No,Yes,In Progress,2
STU00153,Aniruddh Sant,Male,23,MCA,Civil,4,8.11,79.6,Vijayawada,2020,No,No,In Progress,2
STU00154,Nirvi Aggarwal,Female,18,MBA,Management,4,7.92,78.0,Mumbai,2024,Yes,No,In Progress,2
STU00155,Bhamini Tank,Female,19,MCA,Commerce,1,7.54,96.7,Mumbai,2023,Yes,Yes,Placed,1
STU00156,Neysa Chakrabarti,Male,23,B.Tech,Electronics,1,5.58,71.9,Pune,2020,Yes,No,In Progress,0
STU00157,Aradhya Rastogi,Male,24,M.Tech,Mechanical,2,6.9,85.2,Delhi,2023,No,No,In Progress,2
STU00158,Anaya Sabharwal,Male,21,M.Tech,Management,3,7.58,96.4,Vijayawada,2023,No,No,In Progress,1
STU00159,Ela Vasa,Male,26,M.Tech,Commerce,4,7.56,81.3,Mumbai,2021,No,No,Not Placed,2
STU00160,Drishya Sarin,Female,21,MCA,Management,2,5.68,96.3,Pune,2021,Yes,No,Placed,1
STU00161,Trisha Andra,Male,25,MCA,Electronics,3,8.49,65.2,Visakhapatnam,2023,Yes,Yes,In Progress,1
STU00162,Lakshay Sood,Male,23,B.Tech,Computer Science,4,8.58,63.8,Pune,2021,Yes,Yes,Not Placed,1
STU00163,Heer Varkey,Male,19,MCA,Electrical,3,8.28,94.5,Mumbai,2021,Yes,Yes,Placed,0
STU00164,Navya Handa,Male,21,MCA,Civil,4,9.53,96.6,Bangalore,2020,No,Yes,Not Placed,2
STU00165,Navya Swaminathan,Female,19,BBA,Commerce,4,9.16,77.8,Pune,2020,Yes,Yes,In Progress,2
STU00166,Dhanush Dass,Female,23,M.Tech,Mechanical,1,6.95,71.2,Delhi,2024,Yes,Yes,Placed,3
STU00167,Vardaniya Kuruvilla,Female,20,M.Tech,Computer Science,2,7.55,95.6,Pune,2020,Yes,No,Not Placed,2
STU00168,Anvi Rattan,Female,21,B.Com,Electronics,1,8.31,86.3,Chennai,2021,Yes,Yes,Not Placed,2
STU00169,Samiha Thakkar,Male,24,M.Tech,Computer Science,3,8.14,68.3,Delhi,2021,Yes,No,Not Placed,3
STU00170,Madhup Sachar,Female,18,MCA,Electronics,2,6.56,88.7,Bangalore,2025,Yes,No,Placed,1
STU00171,Purab Ravi,Female,18,MBA,Electronics,2,6.91,79.8,Pune,2020,Yes,Yes,Placed,3
STU00172,Neelofar Mane,Female,21,B.Sc,Electronics,4,7.92,81.2,Hyderabad,2022,No,Yes,In Progress,1
STU00173,Manjari Sankaran,Female,17,MBA,Computer Science,1,6.98,62.4,Vijayawada,2022,Yes,Yes,Not Placed,1
STU00174,Farhan Balan,Male,25,MCA,Mechanical,4,9.77,74.5,Chennai,2021,No,No,In Progress,2
STU00175,Samiha Bahl,Female,24,B.Tech,Mechanical,4,6.05,97.2,Mumbai,2023,Yes,Yes,In Progress,3
STU00176,Gatik Basak,Female,26,MCA,Mechanical,2,6.99,70.5,Hyderabad,2022,Yes,Yes,Placed,1
STU00177,Mishti Ramanathan,Male,23,B.Tech,Computer Science,1,8.07,86.7,Pune,2022,Yes,Yes,Placed,1
STU00178,Rhea Bahl,Male,21,MCA,Management,1,7.67,71.0,Chennai,2020,No,No,In Progress,1
STU00179,Dhruv Mallick,Female,17,BBA,Electrical,3,7.89,82.5,Delhi,2019,Yes,No,In Progress,3
STU00180,Kimaya Kumar,Female,20,MCA,Electronics,3,7.29,65.7,Visakhapatnam,2024,No,Yes,Not Placed,1
STU00181,Raghav Krishnan,Male,21,MCA,Civil,1,7.27,75.8,Visakhapatnam,2023,Yes,No,Not Placed,0
STU00182,Zaina Sundaram,Female,26,BBA,Management,3,7.8,91.5,Hyderabad,2019,Yes,No,Placed,1
STU00183,Tushar Solanki,Male,20,MCA,Management,2,6.4,94.5,Bangalore,2022,No,Yes,In Progress,3
STU00184,Rohan Handa,Female,25,B.Sc,Commerce,2,9.44,81.0,Delhi,2022,No,No,Not Placed,2
STU00185,Aarna Hegde,Male,22,B.Com,Electronics,4,5.92,97.3,Delhi,2022,No,No,Not Placed,0
STU00186,Ishaan Chaudhuri,Male,20,MBA,Management,2,6.13,69.9,Delhi,2024,No,No,Placed,3
STU00187,Chirag Kulkarni,Female,24,MBA,Management,2,7.87,95.9,Pune,2022,No,No,Placed,2
STU00188,Veer Deep,Male,17,B.Sc,Mechanical,4,9.44,80.6,Hyderabad,2020,Yes,Yes,Not Placed,1
STU00189,Oorja Wason,Male,26,MCA,Commerce,2,8.54,60.3,Pune,2019,No,No,In Progress,3
STU00190,Umang Sidhu,Female,19,B.Tech,Computer Science,4,5.57,87.4,Bangalore,2019,No,Yes,Placed,1
STU00191,Misha Saraf,Female,24,B.Sc,Mechanical,3,7.02,90.2,Visakhapatnam,2025,Yes,No,In Progress,1
STU00192,Madhup Venkataraman,Female,23,B.Com,Commerce,1,9.76,84.7,Mumbai,2024,Yes,Yes,In Progress,3
STU00193,Anvi Chahal,Male,25,B.Tech,Commerce,1,6.24,79.0,Hyderabad,2024,No,No,Placed,1
STU00194,Neelofar Khare,Male,22,MCA,Commerce,4,5.7,62.8,Hyderabad,2021,No,Yes,Placed,1
STU00195,Shray Bains,Female,19,MCA,Management,4,6.79,81.4,Bangalore,2019,No,No,In Progress,2
STU00196,Anahi Chandran,Male,21,B.Tech,Computer Science,4,9.11,72.9,Pune,2020,No,No,Not Placed,1
STU00197,Umang Saran,Female,20,B.Com,Electronics,4,6.3,82.3,Bangalore,2022,No,Yes,Placed,2
STU00198,Ahana  Desai,Female,24,B.Sc,Civil,2,7.18,73.7,Delhi,2024,Yes,Yes,Not Placed,0
STU00199,Hazel Iyer,Male,18,B.Sc,Computer Science,2,7.43,81.1,Delhi,2022,No,Yes,In Progress,0
STU00200,Uthkarsh Sura,Male,26,MBA,Electronics,3,7.16,71.1,Chennai,2025,No,Yes,In Progress,3
STU00201,Miraya Sandal,Female,23,B.Sc,Mechanical,3,6.65,65.5,Vijayawada,2021,Yes,No,Not Placed,0
STU00202,Jivika Chander,Male,19,B.Com,Electrical,2,8.19,82.6,Vijayawada,2024,Yes,No,Placed,3
STU00203,Raghav Gade,Female,22,B.Com,Management,4,9.21,76.7,Visakhapatnam,2025,No,Yes,Not Placed,2
STU00204,Shanaya Sathe,Female,21,B.Sc,Civil,3,8.66,84.1,Mumbai,2021,Yes,No,Not Placed,0
STU00205,Indrajit Vora,Female,21,MBA,Mechanical,2,8.8,61.0,Bangalore,2024,No,Yes,Not Placed,3
STU00206,Taran Raval,Male,24,B.Sc,Commerce,3,6.59,65.9,Pune,2020,No,No,In Progress,3
STU00207,Vanya Ramakrishnan,Male,22,MBA,Electronics,4,5.66,96.8,Chennai,2023,Yes,Yes,In Progress,0
STU00208,Raunak Keer,Male,21,MBA,Commerce,4,6.93,90.3,Visakhapatnam,2025,Yes,Yes,In Progress,1
STU00209,Madhup Vala,Male,24,BBA,Electrical,4,8.82,82.4,Bangalore,2022,Yes,No,Not Placed,3
STU00210,Adira Dugal,Female,24,B.Tech,Computer Science,2,6.84,77.3,Bangalore,2021,Yes,No,Not Placed,3
STU00211,Prisha Ganesh,Male,20,B.Com,Computer Science,3,8.98,64.4,Chennai,2019,No,Yes,In Progress,1
STU00212,Saksham Buch,Female,23,B.Com,Electronics,4,6.5,75.4,Hyderabad,2022,Yes,Yes,In Progress,1
STU00213,Pranay Borde,Male,25,BBA,Electronics,4,5.52,68.2,Chennai,2022,No,Yes,Not Placed,2
STU00214,Nakul Vala,Female,26,B.Sc,Civil,1,8.38,78.6,Bangalore,2021,No,No,Not Placed,2
STU00215,Ryan Mani,Female,18,MCA,Civil,2,8.4,90.4,Visakhapatnam,2025,Yes,Yes,Not Placed,0
STU00216,Shanaya Ramaswamy,Male,24,B.Sc,Electrical,2,7.17,82.7,Chennai,2023,No,No,In Progress,1
STU00217,Tarini Randhawa,Male,24,BBA,Electrical,2,6.85,77.1,Chennai,2020,Yes,No,Placed,3
STU00218,Shaan Dugar,Male,18,MBA,Electronics,4,8.44,75.8,Hyderabad,2022,No,No,Placed,2
STU00219,Ira Ranganathan,Male,21,B.Tech,Electrical,2,6.74,89.7,Delhi,2023,No,Yes,In Progress,0
STU00220,Priyansh Grewal,Male,24,MCA,Commerce,4,6.44,76.2,Vijayawada,2023,Yes,No,Not Placed,0
STU00221,Kismat Doctor,Male,26,BBA,Management,1,8.99,68.0,Chennai,2025,No,No,Placed,1
STU00222,Ivana Wali,Female,26,MCA,Computer Science,3,6.71,80.5,Vijayawada,2023,No,No,In Progress,0
STU00223,Yashvi Kakar,Male,19,B.Sc,Management,4,9.77,92.9,Delhi,2019,Yes,Yes,Placed,3
STU00224,Hazel Reddy,Female,22,BBA,Mechanical,3,7.28,77.2,Pune,2024,Yes,No,Not Placed,2
STU00225,Amani Bava,Female,20,MBA,Computer Science,1,9.68,84.1,Mumbai,2024,No,Yes,Placed,3
STU00226,Miraan Balasubramanian,Male,17,B.Com,Electrical,3,7.85,65.0,Bangalore,2021,No,No,In Progress,3
STU00227,Myra Malhotra,Male,21,B.Tech,Computer Science,2,7.46,97.7,Chennai,2022,No,Yes,Not Placed,0
